gene,log2FC,p-value
gene_3,-1.99452811225017,2.39999076366145e-33
gene_5,NA,NA
gene_419,0.969090993065209,1.10531646653095e-21
gene_457,-0.301130581515383,0.00974262623303805
gene_460,1.72225181267273,2.57327917821963e-09
gene_938,-2.48936498621946,9.92581594211467e-07
gene_971,-0.950027483648735,3.92275732226686e-11
gene_1036,0.239561355044051,0.138548088512539
gene_1084,0.705749279430051,6.83900295439886e-06
gene_1167,-0.193947748194994,0.250761728762433
gene_1460,0.732354364732887,7.35416459830347e-06
gene_1461,-0.859110045277077,9.0724080320627e-08
gene_1497,1.10988913658575,2.24247718688348e-25
gene_1561,-3.8118099604529,5.69831193469815e-22
gene_1617,-0.00409304320332048,0.977184015728814
gene_1626,-3.04232568120107,0.297549331996903
gene_1629,-0.347085753596297,0.00311238359684041
gene_1630,1.03852173335146,3.01139083053254e-08
gene_1631,0.194061529454659,0.154339246547418
gene_2016,-0.309505928323946,0.0922522705952128
gene_2079,2.45434135836736,5.27636578743488e-09
gene_2330,0.469957699111194,0.00552286651803896
gene_2549,0.335366320740232,0.0811450899561343
gene_2586,0.852613821936842,1.52858467981936e-11
gene_2587,-0.949804816379318,0.00033357701596084
gene_2726,-5.21085446827661,2.1267903832394e-36
gene_2745,-1.54872993664053,0.162575511981779
gene_2746,2.75899084737504,0.00612401696185363
gene_2822,0.373585364180114,0.0493446163893764
gene_2834,-0.1360009327808,0.523729218345962
gene_2919,0.420687808777852,0.00380068806425826
gene_2933,-9.56169825855312,5.02475817847041e-10
gene_3056,0.180916545412347,0.084359842484394
gene_3096,0.541450331930693,0.0134045748852179
gene_3137,-0.464025129862349,0.163449433121462
gene_3147,-1.51970838326705,1.06435110470385e-09
gene_3249,-1.58795866088233,2.56696956895826e-50
gene_3393,0.758974990148838,1.09136905279671e-12
gene_3400,-1.03905700362934,1.0972053090131e-25
gene_3402,-1.34552947673238,1.42728892229469e-17
gene_3436,-2.80006874224195,6.7647757970068e-29
gene_3509,-0.125180778601843,0.270216896379278
gene_3756,-0.832357082533406,3.66362351155563e-10
gene_3987,-0.0717415785157549,0.7523881221181
gene_3989,-0.705608476696365,0.144020671932265
gene_4059,0.532726707815356,1.53342198157094e-05
gene_4139,-3.07784249208445,1.49874312541065e-17
gene_4142,0.475424318044592,1.57827598424016e-05
gene_4399,-2.69712672345783,NA
gene_4455,0.640798228318132,2.73881965070643e-08
gene_4468,0.457697009018475,0.841812295686672
gene_4478,0.715500264502304,9.74290553517752e-05
gene_4487,0.0445164645857762,0.714217350016131
gene_4534,-0.377529781996409,0.0250531064382609
gene_4660,1.42057289781141,1.62811416114963e-07
gene_4700,1.43669061735274,4.38198027291898e-40
