gene,log2FC,p-value
gene_3,1.99440255747125,0
gene_419,-0.969733981781078,0
gene_457,0.302440998771264,0.000307330009165274
gene_460,-1.71944180358006,6.61511817401372e-06
gene_938,2.3477085795591,0.999998719536438
gene_971,0.95008383503927,1.24344978758018e-14
gene_1036,-0.238632864863489,0.477035529710216
gene_1084,-0.704759784451084,2.42445508114031e-10
gene_1167,0.194073617698306,0.745707900704248
gene_1460,-0.730471447149468,8.03245110425621e-08
gene_1461,0.859007939783622,5.67353728814224e-05
gene_1497,-1.11145350012026,0
gene_1561,3.80643477780546,1.99871175166066e-09
gene_1617,0.00408856311840121,0.959124300744911
gene_1629,0.347471672430202,0.0265550593961408
gene_1630,-1.04460482165487,2.05568895239594e-12
gene_1631,-0.19400323629098,0.530042021332402
gene_2016,0.313462551547508,0.568027211239609
gene_2079,-2.45458183515398,0
gene_2330,-0.47406037911138,0.010649049358659
gene_2549,-0.336001729859891,0.667681567092527
gene_2586,-0.852589313532278,4.5852210917019e-14
gene_2587,0.949251477019886,0.000256470664960706
gene_2726,5.1931101949926,7.7715611723761e-16
gene_2822,-0.375586476436594,0.302089606817898
gene_2834,0.13595163702108,0.950557251357182
gene_2919,-0.42344105090584,0.00425324810739391
gene_2933,8.13043798028017,4.03876931898139e-12
gene_3056,-0.181653184186464,0.525241528393513
gene_3096,-0.53676349968361,0.0283759339393874
gene_3137,0.435451145046408,0.352280059041367
gene_3147,1.5193500471132,0
gene_3249,1.58511247118554,0
gene_3393,-0.75974747480771,0
gene_3400,1.04024595517702,0
gene_3402,1.34478848534166,1.13242748511766e-14
gene_3436,2.79657978916142,1.95399252334028e-14
gene_3509,0.12721891650827,0.763621975679769
gene_3756,0.832550832218339,6.92828971970982e-08
gene_3987,0.0649762448804363,0.871626882902329
gene_3989,0.704424266672096,0.680261002667152
gene_4059,-0.533450762561473,1.46691048197312e-08
gene_4139,2.99695283010538,0
gene_4142,-0.475873078804044,8.80304673600563e-08
gene_4399,2.6922338411842,0.124585651126072
gene_4455,-0.641044557282656,4.9515946898282e-14
gene_4478,-0.715565078505411,0.00153460608205469
gene_4487,-0.0443166718471801,0.937502392339233
gene_4534,0.378013331163666,0.487117700303894
gene_4660,-1.42439783241521,1.69155290286049e-06
gene_4700,-1.43607842882963,0
gene_4766,0.658105636832353,1.88737914186277e-15
gene_4777,-1.64029991294846,0
gene_4779,-0.855465451345311,1.99840144432528e-15
gene_4799,5.49792018595629,0
gene_4838,-0.163248651275872,0.540270105211407
gene_4864,-1.10295463212229,1.31486527588098e-06
gene_4866,-0.515254097087418,0
gene_4897,-0.828722680904107,2.39851472016994e-11
gene_4961,0.138790808346153,0.774865115246383
gene_4975,-0.29692295401447,0.187988565919027
gene_5001,4.803632695396,0
gene_5007,-0.127253550760261,0.930222132678868
gene_5020,1.73228423838342,9.99200722162641e-15
gene_5022,-1.07896723012935,0
gene_5059,-1.98568292058044,0
gene_5075,-0.469722320590952,3.0591725153073e-08
gene_5100,-0.886137091508655,1.73585590346192e-11
gene_5108,4.31141581983965,1.34951938512984e-10
gene_5156,-0.819725898469416,0
gene_5175,-0.535797539621111,2.00529481908518e-10
gene_5187,1.09351248274629,0.0493718574765442
gene_5189,-2.25081682824373,0
gene_5194,-0.656140130185019,0.000230583295286357
gene_5206,0.897525375613167,3.28626015289046e-14
gene_5238,0.58051620878443,2.87157631007062e-10
gene_5243,-1.31901558402287,6.97109386688100000E-05
gene_5249,3.07145261069141,0.0467914873783198
gene_5302,-0.0889058062928648,0.745234200587698
gene_5339,-0.275237736379994,0.360548629227069
