gene,logFC,PValue
gene_3,-2.00871934748297,1.09372591563664e-10
gene_5,0,1
gene_419,0.952036045916798,0.00168010459730503
gene_457,-0.319269480237798,0.295415471617754
gene_460,1.70731874550662,4.60865630581509e-08
gene_938,-2.4840905936123,1.82690235412636e-07
gene_971,-0.962703992892779,0.00145454471929342
gene_1036,0.222257626120991,0.46092008058266
gene_1084,0.695398583351009,0.0211379260673426
gene_1167,-0.212328882652797,0.479986483215942
gene_1460,0.718012339418029,0.0178390745647109
gene_1461,-0.8703458545847,0.00394245356674151
gene_1497,1.09434966214385,0.000315705705463881
gene_1561,-3.8134232158223,3.81235419977891e-29
gene_1617,-0.0203702593168872,0.945905849975238
gene_1626,-3.00881796473181,0.00982267637301794
gene_1629,-0.359849646603316,0.230429192133848
gene_1630,1.02190381216485,0.000954251254562343
gene_1631,0.181581307972658,0.546612817700279
gene_2016,-0.325179327139428,0.28592234256131
gene_2079,2.41531546662465,2.62414152833295e-14
gene_2330,0.451374237326109,0.139424280381632
gene_2549,0.313062976308461,0.297596932874555
gene_2586,0.835028557093073,0.00563910483883524
gene_2587,-0.970411272950641,0.00147902792966869
gene_2726,-5.21189809091668,8.44370131257855e-45
gene_2745,-1.41490378878971,0.0698145015255695
gene_2746,2.63970975596316,0.000900977134370584
gene_2822,0.354988772986116,0.238937858118895
gene_2834,-0.15164303719124,0.612724358424269
gene_2919,0.402204108166585,0.183353834845899
gene_2933,-9.16406815936698,9.75471792389929e-50
gene_3056,0.162887618985091,0.587149149586519
gene_3096,0.524341309344944,0.0879747829143089
gene_3137,-0.484672086431919,0.180270561692926
gene_3147,-1.53115033143837,6.74468221409026e-07
gene_3249,-1.60380442189273,2.32971263048013e-07
gene_3393,0.741966587633382,0.0139831229440082
gene_3400,-1.05570707305515,0.000555255491391997
gene_3402,-1.36459620895211,7.96375713396748e-06
gene_3436,-2.81566321512505,3.6075078728602e-18
gene_3509,-0.142903561438439,0.63799732145258
gene_3756,-0.843363538398672,0.0052068424546932
gene_3987,-0.0911573221701793,0.800940699653175
gene_3989,-0.742623044105673,0.0148831676839919
gene_4059,0.514080501294037,0.0873458241786961
gene_4139,-3.07767761123427,1.3151175551983e-14
gene_4142,0.458279358773581,0.127298733363222
gene_4399,-2.67848783802078,1.85177906769211e-16
gene_4455,0.624832385307664,0.0377404659912129
gene_4468,0.218211128493778,1
gene_4478,0.696840793558406,0.020664642264184
gene_4487,0.0294017884717233,0.922004501499492
gene_4534,-0.39017255393183,0.193951106812444
gene_4660,1.40109123230026,1.00370994250068e-05
gene_4700,1.42004836343781,3.49288031797266e-06
